url_path,views_total,views_unique
/stablecaps/eyes3scribe,13,8
/stablecaps/eyes3scribe/blob/master/pyproject.toml,12,5
/stablecaps/eyes3scribe/tree/master/.github,7,3
/stablecaps/eyes3scribe/blob/master/.github/workflows/publish.yml,4,2
/stablecaps/eyes3scribe/tree/master,4,2
/stablecaps/eyes3scribe/tree/master/eyes3scribe,4,2
/stablecaps/eyes3scribe/tree/master/.github/workflows,4,2
/stablecaps/eyes3scribe/blob/master/__init__.py,3,1
/stablecaps/eyes3scribe/blob/master/docs/milestones.md,2,1
/stablecaps/eyes3scribe/blob/master/eyes3scribe/launcher.py,2,1
